career_stage,primary_area,origin_region,work_region,llm_intelligence,llm_intelligence_future,agreement,supp_research_area,occupation,criteria,lacking_criteria,entity_intelligence,intelligence_tests,research_goals
"Research student (PhD, MPhil)",Natural Language Processing,Europe,Europe,Strongly disagree,"No, I disagree",More would disagree than agree,"['CSS', 'ML', 'NLP']",['Academia'],"['Embodiment', 'Knowledge acq.', 'Reasoning', 'Creativity', 'Consciousness']","['Embodiment', 'Creativity', 'Consciousness']",['Human'],['I do not believe that we currently have such a test'],"['Practically Useful', 'interaction of tech and society', 'Adding to the knowledge/scientific understanding']"
Postdoc,Neuroscience,Asia,Europe,Disagree,"Yes, I agree",Unsure,[],['Academia'],"['Env. interaction', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Planning', 'Adaptability', 'Generalization']","['Knowledge acq.', 'Goal Ach.', 'Planning', 'Adaptability', 'Generalization']","['Human', 'Cats', 'Ants']","['Generalization tests', 'I do not believe that we currently have such a test']",['Adding to the knowledge/scientific understanding']
Senior (faculty or industry),Neuroscience,Europe,Europe,Agree,"Yes, I strongly agree",Unsure,['Other'],['Academia'],"['Env. interaction', 'Embodiment', 'Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Consciousness', 'Understanding']","['Embodiment', 'Planning', 'Adaptability', 'Creativity']","['Human', 'Cats', 'Ants', 'Amoebas', 'Narrow systems', 'Autonomous robotic systems', 'Earlier chatbot', 'LLM-based chatbot', 'LLM-based agents']","['preference ranking', 'IQ tests', 'SAT/MSAT', 'LM Benchmarks', 'Turing test', 'Generalization tests']","['Practically Useful', 'Adding to the knowledge/scientific understanding']"
Junior (faculty or industry),Artificial Intelligence,Asia,Europe,Disagree,"Yes, I agree",More would agree than disagree,"['AI', 'ML']","['Academia', 'Industry']","['Env. interaction', 'Perception', 'Knowledge acq.', 'Problem solving', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Consciousness', 'Understanding']","['Perception', 'Knowledge acq.', 'Problem solving', 'Reasoning', 'Generalization', 'Creativity', 'Understanding']","['Human', 'Cats', 'Ants']","['preference ranking', 'Turing test', 'Generalization tests']",['Practically Useful']
Junior (faculty or industry),Natural Language Processing,Europe,Europe,Strongly disagree,"No, I disagree",Unsure,[],['Academia'],"['Env. interaction', 'Embodiment', 'Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Consciousness', 'Understanding']","['Env. interaction', 'Embodiment', 'Perception', 'Knowledge acq.', 'Problem solving', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Consciousness', 'Understanding']",['Human'],['I do not believe that we currently have such a test'],"['Practically Useful', 'interaction of tech and society']"
Postdoc,Computational Linguistics,Europe,Europe,Disagree,"No, I strongly disagree",Unsure,"['AI Ethics', 'AI']",['Academia'],"['Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Understanding']","['Env. interaction', 'Perception', 'Knowledge acq.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Consciousness']","['Human', 'Cats', 'Ants']","['Generalization tests', 'I do not believe that we currently have such a test']","['Practically Useful', 'interaction of tech and society', 'Adding to the knowledge/scientific understanding']"
"Other student (Master, Bachelor)",Machine Learning,Asia,Asia,Agree,"Yes, I strongly agree",Unsure,[],['Academia'],"['Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Understanding']",['Adaptability'],"['Human', 'Cats', 'Ants', 'LLM-based chatbot']","['LM Benchmarks', 'Generalization tests']",[]
Junior (faculty or industry),Natural Language Processing,Asia,Asia,Disagree,"No, I disagree",More would agree than disagree,"['AI', 'Comp. Ling.']",['Academia'],"['Env. interaction', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Consciousness', 'Understanding']","['Env. interaction', 'Embodiment', 'Reasoning', 'Consciousness', 'Understanding']","['Human', 'Cats', 'Ants']",['I do not believe that we currently have such a test'],['Adding to the knowledge/scientific understanding']
Junior (faculty or industry),Cognitive Science,America,America,Disagree,"No, I disagree",More would agree than disagree,"['AI', 'CSS', 'ML', 'Psychology']",['Academia'],"['Env. interaction', 'Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Consciousness', 'Understanding']","['Env. interaction', 'Embodiment', 'Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Consciousness']","['Human', 'Cats']",['I do not believe that we currently have such a test'],"['Practically Useful', 'Adding to the knowledge/scientific understanding']"
Senior (faculty or industry),Neuroscience,Europe,Europe,Disagree,"No, I disagree",Unsure,['ML'],['Industry'],"['Planning', 'Adaptability', 'Generalization', 'Creativity']","['Problem solving', 'Reasoning', 'Planning', 'Adaptability', 'Creativity', 'Consciousness', 'Understanding']","['Human', 'Cats', 'Ants']","['IQ tests', 'SAT/MSAT']","['Practically Useful', 'Adding to the knowledge/scientific understanding']"
Postdoc,"Psychology (cognitive, developmental)",Europe,Europe,Disagree,"Yes, I agree",More would agree than disagree,[],['Academia'],"['Env. interaction', 'Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Understanding']","['Planning', 'Adaptability', 'Generalization', 'Creativity', 'Consciousness']","['Human', 'Cats', 'Ants']",['IQ tests'],['Adding to the knowledge/scientific understanding']
Postdoc,"Psychology (cognitive, developmental)",Oceania,Oceania,Agree,"Yes, I agree",More would agree than disagree,['AI'],['Academia'],"['Env. interaction', 'Embodiment', 'Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Understanding']","['Env. interaction', 'Embodiment', 'Reasoning', 'Planning', 'Adaptability', 'Creativity', 'Consciousness']","['Human', 'Cats', 'Ants', 'Amoebas', 'Narrow systems', 'Autonomous robotic systems', 'Earlier chatbot', 'LLM-based chatbot', 'LLM-based agents']","['preference ranking', 'IQ tests', 'SAT/MSAT', 'LM Benchmarks', 'Turing test', 'Generalization tests']","[""Creating technology that qualifies for my notion of 'intelligence'"", 'Practically Useful', 'interaction of tech and society', 'Adding to the knowledge/scientific understanding']"
Postdoc,Natural Language Processing,Prefer not to say,Oceania,Disagree,"No, I disagree",More would agree than disagree,[],['Academia'],"['Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Understanding']","['Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization']","['Human', 'Cats', 'Ants', 'Narrow systems']","['Generalization tests', 'I do not believe that we currently have such a test']",['Practically Useful']
Senior (faculty or industry),Machine Learning,America,America,Disagree,"Yes, I agree",More would disagree than agree,"['AI', 'CogSci', 'HCI', 'NLP']","['Academia', 'Industry']","['Env. interaction', 'Embodiment', 'Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Consciousness', 'Understanding']","['Env. interaction', 'Embodiment', 'Perception', 'Knowledge acq.', 'Adaptability', 'Creativity', 'Consciousness']","['Human', 'Cats']",['I do not believe that we currently have such a test'],"[""Creating technology that qualifies for my notion of 'intelligence'"", 'Practically Useful', 'Adding to the knowledge/scientific understanding']"
Senior (faculty or industry),Cognitive Science,Europe,Europe,Strongly disagree,"No, I disagree",More would disagree than agree,[],['Academia'],"['Env. interaction', 'Embodiment', 'Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Consciousness', 'Understanding']","['Env. interaction', 'Embodiment', 'Perception', 'Problem solving', 'Goal Ach.', 'Planning', 'Adaptability', 'Creativity', 'Consciousness', 'Understanding']","['Human', 'Cats']","['preference ranking', 'SAT/MSAT', 'Generalization tests']",['Adding to the knowledge/scientific understanding']
Postdoc,Natural Language Processing,Europe,Europe,Strongly disagree,"No, I strongly disagree",More would agree than disagree,"['AI', 'Comp. Ling.', 'HCI', 'ML', 'NLP']",['Academia'],"['Perception', 'Knowledge acq.', 'Problem solving', 'Reasoning', 'Adaptability', 'Generalization']","['Env. interaction', 'Embodiment', 'Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Consciousness', 'Understanding']","['Human', 'Cats', 'Ants']",['I do not believe that we currently have such a test'],"['Practically Useful', 'Adding to the knowledge/scientific understanding']"
Senior (faculty or industry),Other,America,Europe,Agree,"Yes, I agree",More would disagree than agree,"['AI', 'CSS', 'ML']",['Academia'],"['Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Understanding']","['Embodiment', 'Consciousness']","['Human', 'Cats', 'Narrow systems', 'Autonomous robotic systems', 'LLM-based chatbot', 'LLM-based agents']","['preference ranking', 'IQ tests', 'SAT/MSAT', 'LM Benchmarks', 'Turing test', 'Generalization tests']",['Adding to the knowledge/scientific understanding']
"Research student (PhD, MPhil)",Other,Europe,Europe,Agree,"Yes, I agree",Unsure,"['ML', 'Psychology', 'Other']",['Academia'],"['Problem solving', 'Reasoning', 'Planning', 'Generalization']",[],"['Human', 'Cats', 'Ants', 'Amoebas', 'LLM-based chatbot', 'LLM-based agents']",['Generalization tests'],"['Practically Useful', 'Adding to the knowledge/scientific understanding', 'Other']"
Junior (faculty or industry),Computational Social Science,Europe,Europe,Disagree,"Yes, I agree",Unsure,[],['Academia'],"['Env. interaction', 'Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Understanding']","['Reasoning', 'Creativity', 'Understanding']","['Human', 'Cats', 'Ants']",['I do not believe that we currently have such a test'],['Adding to the knowledge/scientific understanding']
"Research student (PhD, MPhil)",Computational Social Science,Asia,Europe,Strongly agree,,Unsure,[],['Academia'],"['Perception', 'Knowledge acq.', 'Goal Ach.', 'Reasoning', 'Adaptability', 'Generalization', 'Understanding']","['Env. interaction', 'Embodiment', 'Problem solving', 'Planning', 'Generalization', 'Creativity']","['Human', 'Cats', 'LLM-based chatbot', 'LLM-based agents']",['I do not believe that we currently have such a test'],['Adding to the knowledge/scientific understanding']
"Research student (PhD, MPhil)",Computational Social Science,Europe,Europe,Agree,,Unsure,"['ML', 'NLP']",['Academia'],"['Problem solving', 'Reasoning', 'Generalization', 'Understanding']",[],"['Human', 'Cats', 'Ants', 'Autonomous robotic systems', 'LLM-based chatbot', 'LLM-based agents']","['preference ranking', 'IQ tests', 'SAT/MSAT', 'LM Benchmarks', 'Turing test', 'Generalization tests']",['Adding to the knowledge/scientific understanding']
"Research student (PhD, MPhil)",Natural Language Processing,Europe,Europe,Strongly disagree,"No, I disagree",More would disagree than agree,"['NLP', 'Other']",['Academia'],"['Env. interaction', 'Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Consciousness', 'Understanding']","['Embodiment', 'Perception', 'Planning', 'Adaptability', 'Creativity', 'Consciousness']","['Human', 'Cats']",['I do not believe that we currently have such a test'],"['interaction of tech and society', 'Adding to the knowledge/scientific understanding']"
Senior (faculty or industry),Natural Language Processing,Europe,Europe,Strongly disagree,"No, I strongly disagree",Unsure,"['AI', 'ML']",['Government/non-profit'],"['Perception', 'Knowledge acq.', 'Planning', 'Generalization']","['Env. interaction', 'Embodiment', 'Perception', 'Problem solving', 'Reasoning', 'Planning', 'Adaptability', 'Consciousness', 'Understanding']","['Human', 'Cats', 'Ants']",['I do not believe that we currently have such a test'],['Practically Useful']
"Research student (PhD, MPhil)",Computational Social Science,America,Europe,Disagree,"No, I disagree",Unsure,"['Information Science', 'NLP']",['Academia'],"['Perception', 'Knowledge acq.', 'Problem solving', 'Reasoning', 'Adaptability', 'Generalization', 'Creativity', 'Understanding']","['Embodiment', 'Perception', 'Planning', 'Adaptability', 'Creativity', 'Consciousness']","['Human', 'Cats']",['I do not believe that we currently have such a test'],"['Practically Useful', 'Adding to the knowledge/scientific understanding']"
Senior (faculty or industry),Computational Social Science,Europe,Europe,Agree,"Yes, I agree",More would disagree than agree,"['AI', 'Information Science', 'ML', 'Mathematics']",['Academia'],"['Knowledge acq.', 'Problem solving', 'Reasoning', 'Adaptability', 'Generalization', 'Creativity']","['Embodiment', 'Perception', 'Goal Ach.', 'Consciousness']","['Human', 'Cats', 'LLM-based chatbot']","['preference ranking', 'IQ tests', 'SAT/MSAT', 'LM Benchmarks', 'Turing test', 'Generalization tests']","['Practically Useful', 'interaction of tech and society', 'Adding to the knowledge/scientific understanding']"
Senior (faculty or industry),Natural Language Processing,Oceania,Oceania,Disagree,"Yes, I agree",More would disagree than agree,"['AI', 'ML']",['Industry'],"['Env. interaction', 'Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Understanding']","['Env. interaction', 'Embodiment', 'Perception', 'Knowledge acq.', 'Goal Ach.', 'Reasoning', 'Planning', 'Consciousness']","['Human', 'Cats', 'Ants']","['IQ tests', 'I do not believe that we currently have such a test']",['Practically Useful']
Senior (faculty or industry),Artificial Intelligence,Europe,America,Disagree,"Yes, I agree",Unsure,['Other'],['Academia'],"['Embodiment', 'Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Consciousness', 'Understanding']","['Embodiment', 'Consciousness']","['Human', 'Autonomous robotic systems']",['Generalization tests'],['Practically Useful']
Postdoc,Computational Linguistics,Europe,Europe,Disagree,"No, I disagree",,['NLP'],['Government/non-profit'],"['Problem solving', 'Reasoning', 'Generalization', 'Creativity', 'Understanding']","['Env. interaction', 'Knowledge acq.', 'Adaptability', 'Generalization']","['Human', 'Cats', 'Ants']",[],[]
Senior (faculty or industry),Information Science,Europe,Europe,Agree,"Yes, I agree",More would disagree than agree,['Comp. Ling.'],['Industry'],"['Perception', 'Knowledge acq.', 'Problem solving', 'Reasoning', 'Planning', 'Adaptability', 'Generalization']","['Perception', 'Reasoning', 'Planning', 'Adaptability', 'Understanding']","['Human', 'Cats', 'Ants', 'Autonomous robotic systems', 'LLM-based chatbot', 'LLM-based agents']",['I do not believe that we currently have such a test'],['Practically Useful']
Junior (faculty or industry),Natural Language Processing,Europe,Europe,Strongly disagree,"No, I disagree",More would agree than disagree,['ML'],['Academia'],"['Env. interaction', 'Perception', 'Knowledge acq.', 'Problem solving', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Understanding']","['Env. interaction', 'Problem solving', 'Planning', 'Adaptability', 'Generalization', 'Consciousness']","['Human', 'Cats', 'Ants']",['I do not believe that we currently have such a test'],"['Practically Useful', 'Adding to the knowledge/scientific understanding']"
Junior (faculty or industry),Natural Language Processing,Europe,Europe,Strongly disagree,"No, I strongly disagree",More would agree than disagree,"['Comp. Ling.', 'CogSci']","['Academia', 'Industry']","['Env. interaction', 'Embodiment', 'Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Consciousness', 'Understanding']","['Env. interaction', 'Embodiment', 'Perception', 'Knowledge acq.', 'Problem solving', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Consciousness', 'Understanding']","['Human', 'Cats', 'Ants', 'Amoebas']",['I do not believe that we currently have such a test'],"[""Creating technology that qualifies for my notion of 'intelligence'"", 'Practically Useful', 'interaction of tech and society', 'Adding to the knowledge/scientific understanding']"
Junior (faculty or industry),Computational Linguistics,Europe,Europe,Strongly disagree,"No, I disagree",Unsure,"['NLP', 'Psycholinguistics']",['Academia'],"['Env. interaction', 'Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Consciousness', 'Understanding']","['Env. interaction', 'Embodiment', 'Perception', 'Knowledge acq.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Consciousness', 'Understanding']","['Human', 'Cats', 'Ants']",['I do not believe that we currently have such a test'],"['interaction of tech and society', 'Adding to the knowledge/scientific understanding']"
Junior (faculty or industry),Machine Learning,America,Europe,,,,"['AI', 'NLP']",['Industry'],[],[],[],[],[]
Senior (faculty or industry),Computational Linguistics,America,America,Strongly disagree,"No, I strongly disagree",Most would disagree with me,"['AI Ethics', 'Other']",['Academia'],"['Env. interaction', 'Embodiment', 'Creativity', 'Consciousness']","['Env. interaction', 'Embodiment', 'Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Creativity', 'Consciousness', 'Understanding']","['Human', 'Cats', 'Ants']",['I do not believe that we currently have such a test'],"['interaction of tech and society', 'Adding to the knowledge/scientific understanding']"
Other,Cognitive Science,America,America,Strongly disagree,"No, I disagree",Most would agree with me,['AI Ethics'],['Industry'],"['Env. interaction', 'Embodiment', 'Generalization', 'Creativity', 'Understanding']","['Env. interaction', 'Embodiment', 'Adaptability', 'Generalization', 'Creativity', 'Understanding']",['Human'],"['preference ranking', 'Generalization tests']","['interaction of tech and society', 'Adding to the knowledge/scientific understanding']"
Senior (faculty or industry),Other,America,America,Strongly disagree,"No, I strongly disagree",Most would agree with me,[],['Industry'],"['Embodiment', 'Perception', 'Knowledge acq.', 'Problem solving', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Consciousness', 'Understanding']","['Env. interaction', 'Embodiment', 'Perception', 'Knowledge acq.', 'Problem solving', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Consciousness', 'Understanding']","['Human', 'Cats', 'Ants']",['I do not believe that we currently have such a test'],['Adding to the knowledge/scientific understanding']
Senior (faculty or industry),"Psychology (cognitive, developmental)",Oceania,Oceania,Strongly disagree,"Yes, I agree",Most would agree with me,"['CogSci', 'Neuroscience', 'Psychology']",['Academia'],"['Env. interaction', 'Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity']","['Env. interaction', 'Embodiment', 'Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity']","['Human', 'Cats', 'Ants', 'Amoebas']","['Other (please specify)', 'I do not believe that we currently have such a test']","['Practically Useful', 'Adding to the knowledge/scientific understanding']"
Senior (faculty or industry),Human-Computer Interaction,America,America,Strongly disagree,"No, I disagree",More would agree than disagree,['Other'],['Industry'],"['Env. interaction', 'Embodiment', 'Perception', 'Knowledge acq.', 'Problem solving', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Consciousness']","['Env. interaction', 'Embodiment', 'Perception', 'Knowledge acq.', 'Problem solving', 'Reasoning', 'Planning', 'Adaptability', 'Creativity', 'Consciousness', 'Understanding']","['Human', 'Cats']",['I do not believe that we currently have such a test'],"['Practically Useful', 'Adding to the knowledge/scientific understanding']"
Senior (faculty or industry),Natural Language Processing,Europe,Europe,Agree,"No, I disagree",More would disagree than agree,"['AI', 'Comp. Ling.', 'Information Science']",['Government/non-profit'],"['Env. interaction', 'Embodiment', 'Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Consciousness', 'Understanding']","['Env. interaction', 'Embodiment', 'Perception', 'Problem solving', 'Reasoning', 'Adaptability', 'Generalization', 'Consciousness', 'Understanding']","['Human', 'Cats', 'Ants', 'Narrow systems', 'Autonomous robotic systems', 'LLM-based chatbot', 'LLM-based agents']","['IQ tests', 'SAT/MSAT', 'Turing test', 'Generalization tests']",['Adding to the knowledge/scientific understanding']
"Other student (Master, Bachelor)",Natural Language Processing,Europe,America,Strongly disagree,"No, I strongly disagree",Unsure,['CSS'],['Academia'],"['Perception', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Consciousness', 'Understanding']","['Env. interaction', 'Embodiment', 'Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Consciousness', 'Understanding']","['Human', 'Cats', 'Ants']",['I do not believe that we currently have such a test'],"['Practically Useful', 'interaction of tech and society']"
Senior (faculty or industry),Artificial Intelligence,Asia,Asia,Strongly agree,"Yes, I agree",Unsure,"['CogSci', 'ML', 'NLP', 'Philosophy']",['Undisclosed'],"['Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Adaptability', 'Generalization', 'Creativity']",['Perception'],"['Human', 'Cats', 'Ants', 'Amoebas', 'Narrow systems', 'Autonomous robotic systems', 'Earlier chatbot', 'LLM-based chatbot', 'LLM-based agents']","['preference ranking', 'IQ tests', 'SAT/MSAT', 'LM Benchmarks', 'Turing test', 'Generalization tests', 'I do not believe that we currently have such a test']","[""Creating technology that qualifies for my notion of 'intelligence'"", 'Practically Useful', 'interaction of tech and society', 'Adding to the knowledge/scientific understanding']"
Senior (faculty or industry),Information Science,America,America,Strongly disagree,"No, I strongly disagree",Most would disagree with me,"['HCI', 'Philosophy']",['Academia'],"['Env. interaction', 'Perception', 'Problem solving', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Consciousness']","['Env. interaction', 'Embodiment', 'Perception', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Consciousness', 'Understanding']","['Human', 'Cats', 'Ants']","['Generalization tests', 'Other (please specify)', 'I do not believe that we currently have such a test']","['Practically Useful', 'interaction of tech and society', 'Adding to the knowledge/scientific understanding']"
Senior (faculty or industry),Neuroscience,Europe,Europe,Disagree,"No, I disagree",More would agree than disagree,['ML'],['Academia'],"['Env. interaction', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization']","['Env. interaction', 'Goal Ach.', 'Reasoning', 'Adaptability', 'Generalization']","['Human', 'Cats']","['IQ tests', 'Generalization tests']",['Adding to the knowledge/scientific understanding']
Other,Machine Learning,Europe,Europe,Strongly disagree,"No, I disagree",More would agree than disagree,['NLP'],['Industry'],"['Env. interaction', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization']","['Knowledge acq.', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability']","['Human', 'Cats']",['I do not believe that we currently have such a test'],['Practically Useful']
"Research student (PhD, MPhil)",Computational Social Science,Europe,Europe,Disagree,"No, I disagree",Unsure,[],['Academia'],"['Embodiment', 'Goal Ach.', 'Reasoning', 'Adaptability', 'Generalization']","['Env. interaction', 'Embodiment', 'Perception', 'Knowledge acq.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Consciousness', 'Understanding']","['Human', 'Cats']",['I do not believe that we currently have such a test'],['Adding to the knowledge/scientific understanding']
"Research student (PhD, MPhil)",Computational Social Science,Europe,Europe,Disagree,"No, I disagree",More would agree than disagree,['Other'],['Academia'],"['Knowledge acq.', 'Problem solving', 'Reasoning', 'Planning', 'Creativity']","['Env. interaction', 'Perception', 'Creativity']","['Human', 'Cats', 'Ants']","['IQ tests', 'Other (please specify)']","['Practically Useful', 'Adding to the knowledge/scientific understanding']"
"Research student (PhD, MPhil)",Artificial Intelligence,Oceania,America,Strongly disagree,"No, I disagree",Unsure,"['ML', 'NLP']","['Academia', 'Industry']","['Perception', 'Knowledge acq.', 'Problem solving', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Consciousness']","['Knowledge acq.', 'Planning', 'Creativity', 'Consciousness']","['Human', 'Cats']",['I do not believe that we currently have such a test'],['Practically Useful']
Senior (faculty or industry),Natural Language Processing,Europe,Europe,Disagree,"No, I disagree",More would agree than disagree,"['CogSci', 'Psycholinguistics']",['Industry'],"['Knowledge acq.', 'Reasoning', 'Planning', 'Adaptability', 'Consciousness', 'Understanding']","['Env. interaction', 'Embodiment', 'Perception', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Consciousness', 'Understanding']",['Human'],['I do not believe that we currently have such a test'],['Practically Useful']
"Research student (PhD, MPhil)",Machine Learning,Europe,America,Disagree,"No, I disagree",More would agree than disagree,[],['Academia'],"['Env. interaction', 'Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity']","['Env. interaction', 'Knowledge acq.', 'Adaptability']","['Human', 'Cats']",['I do not believe that we currently have such a test'],"['Practically Useful', 'Adding to the knowledge/scientific understanding']"
Senior (faculty or industry),Natural Language Processing,America,America,Disagree,"No, I disagree",More would agree than disagree,['AI'],['Industry'],"['Perception', 'Reasoning', 'Adaptability', 'Generalization', 'Creativity', 'Consciousness']","['Adaptability', 'Creativity', 'Consciousness']","['Human', 'Cats', 'Ants']",['Generalization tests'],['Practically Useful']
Junior (faculty or industry),"Psychology (cognitive, developmental)",America,America,Agree,"No, I disagree",More would agree than disagree,['CogSci'],['Academia'],"['Env. interaction', 'Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Consciousness', 'Understanding']","['Creativity', 'Understanding']",['Human'],"['IQ tests', 'SAT/MSAT', 'Generalization tests', 'Other (please specify)']",['Adding to the knowledge/scientific understanding']
Other,Other,Europe,Europe,Strongly disagree,"No, I disagree",More would agree than disagree,['HCI'],"['Academia', 'Industry']","['Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Consciousness', 'Understanding']","['Env. interaction', 'Embodiment', 'Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Consciousness']","['Human', 'Cats']",['I do not believe that we currently have such a test'],"['interaction of tech and society', 'Adding to the knowledge/scientific understanding']"
Other,Human-Computer Interaction,Europe,Europe,Strongly disagree,"No, I disagree",Most would agree with me,"['AI Ethics', 'Information Science']",['Industry'],"['Perception', 'Knowledge acq.', 'Problem solving', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Consciousness']","['Embodiment', 'Perception', 'Knowledge acq.', 'Problem solving', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Consciousness', 'Understanding']","['Human', 'Cats']",['I do not believe that we currently have such a test'],['interaction of tech and society']
Senior (faculty or industry),AI Ethics/Governance,America,America,Strongly disagree,"No, I strongly disagree",More would agree than disagree,['Other'],['Academia'],"['Env. interaction', 'Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Consciousness', 'Understanding']","['Knowledge acq.', 'Planning', 'Adaptability', 'Generalization', 'Consciousness', 'Understanding']","['Human', 'Cats']",['I do not believe that we currently have such a test'],['interaction of tech and society']
